,Activo,D,C&P,Día,Fecha / Hora,Fecha / Hora de Cierre,T. Op,Dia LIVE,Tiempo D/R,Deposito,Retiro,#Cont,STRK Buy,STRK Sell,Profit,% Profit. Op,Profit Tot.,DD/Max,Profit T.,IV Rank,% Alcanzado,Profit Alcanzado,% Media,Profit Media,Objetividad 0-10,Fotos,Notas,#
225,SPY,3d,CALL,Lu,2025-05-12T08:09:07.000,2025-05-12T08:09:07.000,00h 00m,,,,,1,60,60,0,0.00%,3925,-0.76%,0%,,,1000.00,,1000.00,,,,225
224,SPY,3d,CALL,Lu,2025-05-12T08:06:14.000,2025-05-12T08:06:14.000,00h 00m,,,,,1,60,30,-30,-50.00%,3925,-0.76%,-0.76%,,,1000.00,,1000.00,,,,224
223,SPY,3d,CALL,Lu,2025-05-12T08:05:05.000,2025-05-12T08:05:05.000,00h 00m,,,,,1,60,120,60,100.00%,3955,3.10%,1.54%,,,1000.00,,1000.00,,,,223
222,SPY,3d,PUT,Mi,2025-05-07T19:21:55.000,2025-05-07T19:21:55.000,00h 00m,,,,,1,60,120,60,100.00%,3895,1.56%,1.56%,,,1000.00,,1000.00,,,,222
221,SPY,3d,CALL,Mi,2025-05-07T19:21:24.000,2025-05-07T19:21:24.000,00h 00m,,,,,1,60,60,0,0.00%,3835,0.00%,0%,,,1000.00,,1000.00,,,,221
220,SPY,3d,PUT,Mi,2025-05-07T19:20:55.000,2025-05-07T19:20:55.000,00h 00m,,,,,1,60,120,60,100.00%,3835,1.59%,1.59%,,,1000.00,,1000.00,,,,220
219,SPY,3d,PUT,Mi,2025-05-07T19:20:54.000,2025-05-07T19:20:54.000,00h 00m,,,,,1,60,120,60,100.00%,3775,0.00%,1.62%,,,1000.00,,1000.00,,,,219
218,SPY,3d,CALL,Mi,2025-05-07T19:20:11.000,2025-05-07T19:20:11.000,00h 00m,,,,,1,60,0,-60,-100.00%,3715,-1.59%,-1.59%,,,1000.00,,1000.00,,,,218
217,SPY,3d,PUT,Mi,2025-05-07T19:19:30.000,2025-05-07T19:19:30.000,00h 00m,,,,,1,60,90,30,50.00%,3775,0.00%,0.80%,,,1000.00,,1000.00,,,,217
216,SPY,3d,CALL,Mi,2025-05-07T19:18:29.000,2025-05-07T19:18:29.000,00h 00m,,,,,1,60,30,-30,-50.00%,3745,-0.79%,-0.79%,,,1000.00,,1000.00,,,,216
